Таймер	Канал	Пин	Компонент	Назначение
TIM1	CH1	PE9	Мотор FL	ШИМ скорость (левый передний)
TIM1	CH3	PE13	Мотор FR	ШИМ скорость (правый передний)
TIM2	CH1	PA0	Мотор BL	ШИМ скорость (левый задний)
TIM17	CH1	PA7	Мотор BR	ШИМ скорость (правый задний)
TIM3	CH1	PC6	Энкодер FR	Канал A квадратурного декодера
TIM3	CH2	PC7	Энкодер FR	Канал B квадратурного декодера
TIM4	CH1	PB6	Энкодер FL	Канал A квадратурного декодера
TIM4	CH2	PB7	Энкодер FL	Канал B квадратурного декодера
TIM4	CH1	PD12	Энкодер BR	Канал A квадратурного декодера
TIM4	CH2	PD13	Энкодер BR	Канал B квадратурного декодера
TIM2	CH1	PA15	Энкодер BL	Канал A квадратурного декодера
TIM2	CH2	PB3	Энкодер BL	Канал B квадратурного декодера
